District,Year,Yield,Harvested_Extent,Sown_Extent,Production,Season
BADULLA,2019/2020,4405,25641,25641,80.01,Maha
BADULLA,2021,5088,12098,12098,52.33,Yala
BADULLA,2022,3349,12593,12594,35.85,Yala
BADULLA,2021/2022,3027,24185,24195,43.11,Maha
BADULLA,2023,4554,13176,13199,51,Yala
BADULLA,2022/2023,3662,25751,25766,76.27,Maha
BADULLA,2024,4992,12177,12193,51.67,Yala
BADULLA,2023/2024,4494,26053,26056,65.51,Maha
BATTICALOA,1979,2436,6654,8279,14.3,Yala
BATTICALOA,1978/1979,2364,38896,46002,27.7,Maha
BATTICALOA,1979/1980,2171,37260,39398,28.1,Maha
BATTICALOA,1981,2820,8967,10239,22.4,Yala
BATTICALOA,1980/1981,2640,41987,43455,29.9,Maha
BATTICALOA,1982,3662,8479,8892,27.4,Yala
BATTICALOA,1981/1982,2249,26725,45806,27.9,Maha
BATTICALOA,1983,3553,9115,11065,28.6,Yala
BATTICALOA,1982/1983,3222,43661,45118,29.9,Maha
BATTICALOA,1984,3873,11959,12097,40.9,Yala
BATTICALOA,1983/1984,2089,23146,47457,42.7,Maha
BATTICALOA,1985,3771,11017,11053,36.7,Yala
BATTICALOA,1984/1985,3163,37678,38170,105.4,Maha
BATTICALOA,1986,3618,14090,14257,45.1,Yala
BATTICALOA,1985/1986,2609,26787,33279,61.8,Maha
BATTICALOA,1987,3427,14230,14774,43.1,Yala
BATTICALOA,1986/1987,3113,28196,29654,77.6,Maha
BATTICALOA,1988,3609,8045,8414,25.6,Yala
BATTICALOA,1987/1988,1703,11381,29664,17.1,Maha
BATTICALOA,1989,3332,14085,15124,41.5,Yala
BATTICALOA,1988/1989,3052,22894,23704,61.8,Maha
BATTICALOA,1990,0,13956,14400,42,Yala
BATTICALOA,1989/1990,2900,36598,38332,93.8,Maha
BATTICALOA,1991,2516,8392,8986,18.7,Yala
BATTICALOA,1992,3303,7372,10670,21.5,Yala
BATTICALOA,1991/1992,3037,29883,32004,80.2,Maha
BATTICALOA,1993,4154,10449,10508,38.4,Yala
BATTICALOA,1992/1993,3039,30547,30855,82.1,Maha
BATTICALOA,1994,3108,11494,11629,31.6,Yala
BATTICALOA,1993/1994,2741,27418,31077,66.5,Maha
BATTICALOA,1995,3627,12286,12395,39.4,Yala
BATTICALOA,1994/1995,2335,28777,31940,59.4,Maha
BATTICALOA,1996,3279,9155,9345,26.5,Yala
BATTICALOA,1995/1996,2219,20127,24412,39.5,Maha
BATTICALOA,1997,3324,5392,5503,15.8,Yala
BATTICALOA,1996/1997,1924,16250,27814,27.6,Maha
BATTICALOA,1998,3539,11074,11334,34.7,Yala
BATTICALOA,1997/1998,2808,34983,35151,86.8,Maha
BATTICALOA,1999,3632,14369,14850,46.1,Yala
BATTICALOA,1998/1999,2871,33929,36494,86.1,Maha
BATTICALOA,2000,3544,15408,15408,48,Yala
BATTICALOA,1999/2000,2854,35463,39269,89,Maha
BATTICALOA,2001,3036,14377,16111,39,Yala
BATTICALOA,2000/2001,2769,39811,40011,97,Maha
BATTICALOA,2002,3282,15374,16183,45,Yala
BATTICALOA,2001/2002,3126,34895,37025,96,Maha
BATTICALOA,2003,3321,18839,20477,55.2,Yala
BATTICALOA,2002/2003,2581,44311,46175,101,Maha
BATTICALOA,2004,3501,16375,16808,50.6,Yala
BATTICALOA,2003/2004,2815,45460,46050,113,Maha
BATTICALOA,2005,3451,16707,16719,50.9,Yala
BATTICALOA,2004/2005,2360,45318,46182,94.4,Maha
BATTICALOA,2006,3649,15226,15498,49,Yala
BATTICALOA,2005/2006,3207,46573,46772,131.8,Maha
BATTICALOA,2007,3680,2141,2705,7,Yala
BATTICALOA,2006/2007,2891,14685,18469,37.5,Maha
BATTICALOA,2008,3943,17702,17728,61.6,Yala
BATTICALOA,2007/2008,3661,17030,19134,55,Maha
